_id,lat,lon,area,price,num_bed,num_bath,category
ObjectId(5e5f273f082ea743c8c70839),10.810583,106.70914199999999,53.0,3000000000,2.0,1.0,2
ObjectId(5e5f38f938c1de470fcd127f),13.290403,108.426511,1000.0,3900000000.0,3.0,2.0,2
ObjectId(5e5f38fb38c1de470fcd1283),20.979868,105.74391939999998,30.0,1190000000.00,3.0,2.0,2
ObjectId(5e5f38fb38c1de470fcd1285),21.003050199999997,105.82441019999999,40.0,6000000000,4.0,4.0,2
ObjectId(5e5f390738c1de470fcd12a0),20.9649341,105.84104340000002,33.0,2200000000.0,3.0,4.0,2
ObjectId(5e5f38fb38c1de470fcd1284),21.0336292,105.79368899999999,30.0,2990000000.00,3.0,3.0,2
ObjectId(5e5f390f38c1de470fcd12af),21.0144882,105.82358773627462,32.0,2500000000.0,4.0,2.0,2
ObjectId(5e5f390f38c1de470fcd12b6),21.0084826,105.8562486,40.0,5800000000.0,3.0,3.0,2
ObjectId(5e5f390038c1de470fcd1286),21.0144882,105.82358773627462,42.0,8700000000.0,4.0,4.0,2
ObjectId(5e5f390038c1de470fcd1288),20.9894332,105.83431999999999,68.0,13500000000.0,4.0,4.0,2
ObjectId(5e5f390038c1de470fcd128e),20.990919,105.853476,65.7,4000000000,4.0,2.0,2
ObjectId(5e5f390038c1de470fcd128f),21.0418238,105.83511000000001,65.0,13500000000.0,4.0,4.0,2
ObjectId(5e5f390138c1de470fcd1294),21.019204100000003,105.75763278281052,45.0,4400000000.0,1.0,1.0,2
ObjectId(5e5f391638c1de470fcd12c5),21.043796,105.80750699839795,70.0,6500000000.0,4.0,4.0,2
ObjectId(5e5f391938c1de470fcd12cd),58.96382725,16.729934811622115,90.0,18200000000.0,4.0,4.0,2
ObjectId(5e5f390738c1de470fcd129f),21.0144882,105.82358773627462,38.0,9100000000.0,3.0,3.0,2
ObjectId(5e5f391d38c1de470fcd12ce),21.055151199999997,105.78598020000001,50.0,5350000000.00,4.0,4.0,2
ObjectId(5e5f391d38c1de470fcd12d2),21.006518399999997,105.8576709324166,25.55,2950000000.00,3.0,4.0,2
ObjectId(5e5f391d38c1de470fcd12d7),21.064110600000003,105.80644270000002,32.0,2950000000.00,3.0,4.0,2
ObjectId(5e5f392038c1de470fcd12e0),21.0073671,105.80777509999999,80.0,11500000000.0,4.0,4.0,2
ObjectId(5e5f392438c1de470fcd12e8),21.0144882,105.82358773627462,32.0,3880000000.00,4.0,4.0,2
ObjectId(5e5f392438c1de470fcd12ec),21.0150156,105.77341840000001,145.0,9800000000.0,4.0,2.0,2
ObjectId(5e5f390a38c1de470fcd12a9),20.9755354,105.8574465456738,40.0,3600000000.0,3.0,4.0,2
ObjectId(5e5f390f38c1de470fcd12b1),21.0144882,105.82358773627462,40.0,6900000000.0,2.0,2.0,2
ObjectId(5e5f391138c1de470fcd12bc),21.0063427,105.8512773,30.0,2600000000.0,3.0,4.0,2
ObjectId(5e5f392738c1de470fcd12ee),21.0132496,105.81968700000002,120.0,16500000000.0,4.0,4.0,2
ObjectId(5e5f392738c1de470fcd12f2),21.065089999999998,105.82388,160.0,25600000000.0,4.0,4.0,2
ObjectId(5e5f392838c1de470fcd12f5),21.041826699999998,105.7612684,32.7,1320000000.00,2.0,2.0,2
ObjectId(5e5f391338c1de470fcd12bd),21.0232625,105.79547140000001,70.0,13900000000.0,4.0,4.0,2
ObjectId(5e5f391338c1de470fcd12c0),21.014198399999998,105.79584820000001,26.0,2500000000.0,3.0,2.0,2
ObjectId(5e5f391638c1de470fcd12c3),21.019204100000003,105.75763278281052,32.0,3300000000.0,3.0,3.0,2
ObjectId(5e5f391638c1de470fcd12c7),21.0356236,105.76398999999999,55.0,5800000000.0,4.0,4.0,2
ObjectId(5e5f391638c1de470fcd12cb),13.290403,108.426511,50.0,5800000000.0,4.0,4.0,2
ObjectId(5e5f390a38c1de470fcd12aa),21.029726999999998,105.79133320228829,65.0,13000000000,4.0,4.0,2
ObjectId(5e5f390f38c1de470fcd12ae),21.060855,105.8854742,31.0,2050000000.00,3.0,3.0,2
ObjectId(5e5f390f38c1de470fcd12b2),20.9535901,105.75997063168222,30.0,3400000000.0,3.0,4.0,2
ObjectId(5e5f391038c1de470fcd12ba),21.032428,105.82913470000001,40.0,2500000000.0,3.0,3.0,2
ObjectId(5e5f391d38c1de470fcd12cf),20.9980371,105.84946219999999,50.0,4650000000.00,4.0,3.0,2
ObjectId(5e5f391638c1de470fcd12c2),21.006518399999997,105.8576709324166,47.0,6000000000,3.0,4.0,2
ObjectId(5e5f391d38c1de470fcd12d4),21.0517082,105.86418429999999,60.0,5200000000.0,4.0,3.0,2
ObjectId(5e5f391d38c1de470fcd12d9),21.0232625,105.79547140000001,26.0,3150000000.00,3.0,3.0,2
ObjectId(5e5f391e38c1de470fcd12db),21.029726999999998,105.79133320228829,40.0,6500000000.0,4.0,4.0,2
ObjectId(5e5f392438c1de470fcd12e9),21.032428,105.82913470000001,36.0,2500000000.0,3.0,2.0,2
ObjectId(5e5f391d38c1de470fcd12d1),21.0299679,105.82901159999999,36.0,3900000000.0,3.0,3.0,2
ObjectId(5e5f391d38c1de470fcd12d5),21.0144882,105.82358773627462,38.0,3250000000.00,4.0,4.0,2
ObjectId(5e5f391e38c1de470fcd12dd),20.99439525,105.81939890126282,32.0,2900000000.0,4.0,4.0,2
ObjectId(5e5f392438c1de470fcd12e3),21.000073699999998,105.8160033,83.0,11600000000.0,4.0,4.0,2
ObjectId(5e5f392438c1de470fcd12e6),21.0599827,105.78351210000001,70.0,12800000000.0,4.0,4.0,2
ObjectId(5e5f392438c1de470fcd12ea),21.026874600000003,105.7678439,50.0,6900000000.0,5.0,4.0,2
ObjectId(5e5f392738c1de470fcd12ed),21.0455902,105.81165630000001,31.0,3300000000.0,3.0,4.0,2
ObjectId(5e5f392738c1de470fcd12f0),21.0144882,105.82358773627462,37.0,7300000000.0,3.0,4.0,2
ObjectId(5e5f392d38c1de470fcd1301),21.0147853,105.9038338,31.0,1420000000.00,3.0,2.0,2
ObjectId(5e5f392d38c1de470fcd1302),13.290403,108.426511,35.0,1900000000.0,3.0,2.0,2
ObjectId(5e5f392738c1de470fcd12f1),21.019204100000003,105.75763278281052,30.0,3000000000,3.0,4.0,2
ObjectId(5e5f392938c1de470fcd12f8),21.052809,105.73075730000004,33.0,1320000000.00,2.0,2.0,2
ObjectId(5e5f392d38c1de470fcd1300),21.0303698,105.8130817,36.0,2500000000.0,3.0,2.0,2
ObjectId(5e5f392938c1de470fcd12f7),13.290403,108.426511,45.0,2550000000.00,4.0,4.0,2
ObjectId(5e5f392d38c1de470fcd12fe),21.00356,105.73253999999999,33.0,1100000000.0,2.0,2.0,2
ObjectId(5e5f392d38c1de470fcd1303),13.290403,108.426511,41.0,2600000000.0,2.0,2.0,2
ObjectId(5e5f393238c1de470fcd130b),13.290403,108.426511,75.0,1550000000.00,3.0,2.0,2
ObjectId(5e5f393638c1de470fcd1311),21.0059701,105.8574845,120.0,5900000000.0,4.0,3.0,2
ObjectId(5e5f392e38c1de470fcd1305),20.92061,105.73675,33.0,1000000000,2.0,2.0,2
ObjectId(5e5f393638c1de470fcd1313),13.290403,108.426511,20.0,1100000000.0,2.0,2.0,2
ObjectId(5e5f393238c1de470fcd130c),21.0305308,105.8158998,60.0,4500000000.0,4.0,3.0,2
ObjectId(5e5f393638c1de470fcd1312),21.032428,105.82913470000001,37.0,4360000000.00,4.0,3.0,2
ObjectId(5e5f393b38c1de470fcd1320),13.290403,108.426511,34.0,3500000000.0,3.0,3.0,2
ObjectId(5e5f393e38c1de470fcd1329),13.290403,108.426511,33.0,2100000000.0,2.0,2.0,2
ObjectId(5e5f393938c1de470fcd131b),21.0030574,105.8698015,35.0,4500000000.0,4.0,3.0,2
ObjectId(5e5f393b38c1de470fcd131e),13.290403,108.426511,30.0,2750000000.00,2.0,2.0,2
ObjectId(5e5f394238c1de470fcd1332),20.9821202,105.8456611,32.0,2850000000.00,4.0,3.0,2
ObjectId(5e5f394238c1de470fcd1335),21.072844600000003,105.70237220000001,33.5,1360000000.00,2.0,2.0,2
ObjectId(5e5f394538c1de470fcd1338),20.996737300000003,105.84582350000001,45.0,3800000000.0,4.0,3.0,2
ObjectId(5e5f393838c1de470fcd1319),13.290403,108.426511,35.0,4150000000.00,4.0,3.0,2
ObjectId(5e5f393b38c1de470fcd131f),13.290403,108.426511,40.0,4600000000.0,3.0,4.0,2
ObjectId(5e5f393e38c1de470fcd1328),13.290403,108.426511,31.0,2850000000.00,3.0,3.0,2
ObjectId(5e5f394238c1de470fcd1331),20.9339771,105.80027769999992,32.0,1750000000.00,4.0,3.0,2
ObjectId(5e5f394238c1de470fcd1334),13.290403,108.426511,30.0,2850000000.00,4.0,4.0,2
ObjectId(5e5f394538c1de470fcd1337),20.95286,105.80721000000001,32.0,1390000000.00,2.0,1.0,2
ObjectId(5e5f394938c1de470fcd1340),21.041907300000002,105.81627560000001,45.0,2990000000.00,3.0,3.0,2
ObjectId(5e5f394938c1de470fcd1343),13.290403,108.426511,45.0,5000000000,4.0,4.0,2
ObjectId(5e5f394938c1de470fcd1341),21.0474897,105.8107245,37.0,3300000000.0,3.0,4.0,2
ObjectId(5e5f394238c1de470fcd1330),13.290403,108.426511,28.0,2200000000.0,3.0,3.0,2
ObjectId(5e5f394538c1de470fcd1336),20.9339771,105.80027769999992,30.0,2350000000.00,4.0,4.0,2
ObjectId(5e5f394538c1de470fcd1339),21.0144882,105.82358773627462,55.0,5200000000.0,4.0,3.0,2
ObjectId(5e5f394538c1de470fcd133c),13.290403,108.426511,33.0,3500000000.0,3.0,4.0,2
ObjectId(5e5f394d38c1de470fcd1345),13.290403,108.426511,55.0,7100000000.0,4.0,4.0,2
ObjectId(5e5f394d38c1de470fcd1351),13.290403,108.426511,45.0,4500000000.0,4.0,4.0,2
ObjectId(5e5f394738c1de470fcd133f),21.0512048,105.80815120000001,42.0,3300000000.0,3.0,4.0,2
ObjectId(5e5f394938c1de470fcd1342),13.290403,108.426511,50.0,8250000000.0,4.0,3.0,2
ObjectId(5e5f394d38c1de470fcd1348),13.290403,108.426511,35.0,4400000000.0,4.0,4.0,2
ObjectId(5e5f394d38c1de470fcd134c),13.290403,108.426511,47.0,6600000000.0,4.0,4.0,2
ObjectId(5e5f394d38c1de470fcd134e),13.290403,108.426511,44.0,4250000000.00,4.0,4.0,2
ObjectId(5e5f395138c1de470fcd1356),13.290403,108.426511,60.0,6200000000.0,4.0,4.0,2
ObjectId(5e5f395338c1de470fcd135f),20.92061,105.73675,31.0,1140000000.00,2.0,2.0,2
ObjectId(5e5f395138c1de470fcd1357),13.290403,108.426511,30.1,2450000000.00,3.0,3.0,2
ObjectId(5e5f395938c1de470fcd1369),21.0474897,105.8107245,39.0,3300000000.0,3.0,4.0,2
ObjectId(5e5f395b38c1de470fcd1374),13.290403,108.426511,28.0,2300000000.0,3.0,4.0,2
ObjectId(5e5f395b38c1de470fcd1377),13.290403,108.426511,32.0,2800000000.0,4.0,4.0,2
ObjectId(5e5f395b38c1de470fcd1376),13.290403,108.426511,45.0,4600000000.0,4.0,3.0,2
ObjectId(5e5f395938c1de470fcd1366),13.290403,108.426511,36.0,6000000000,4.0,4.0,2
ObjectId(5e5f395938c1de470fcd136e),21.0462443,105.78155929999998,45.0,6800000000.0,4.0,3.0,2
